cemento,escoria_de_horno,ceniza_volante,agua,superplastificante,agregado_grueso,agregado_fino,edad_dias,cemento_bis,alumno_cargador
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56,275.40913378409687,B
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56,238.799740584964,B
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,183.9771750256956,B
238.05,0.0,94.11,186.66,7.0,949.91,847.01,14,229.42673225617796,B
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,3,227.11525317927425,C
480.0,0.0,0.0,192.0,0.0,936.0,721.0,28,473.9631752797858,A
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28,138.88010405103952,C
166.09,0.0,163.27,176.46,4.49,1058.6,780.09,100,159.5150357832999,B
250.0,0.0,95.69,187.42,5.53,956.86,861.17,28,246.02466665282157,B
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,28,272.34940267809606,B
277.05,0.0,97.39,160.6,11.83,973.9,875.61,14,268.3503044678882,A
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,462.9408682172793,C
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28,285.5396182217549,B
387.0,20.0,94.0,157.0,11.61,938.0,845.0,7,380.6218967379261,B
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,263.13119270572776,A
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,14,191.69550949349795,B
250.0,0.0,95.69,187.42,5.53,956.86,861.17,56,250.1860929332168,A
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3,342.19482299280634,B
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,56,189.60258463142125,A
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,208.13524994812903,A
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,160.23223465256424,A
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,428.4375501329096,B
312.7,144.7,0.0,127.3,8.0,999.7,822.2,28,306.12745420813224,C
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,307.86610853064377,B
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,466.03782690486895,B
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,137.9142523522475,C
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28,121.90977750040835,C
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,413.5313856399044,B
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,474.7260870253552,C
222.36,0.0,96.67,189.29,4.46,967.08,870.32,100,213.808322402263,B
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28,278.1725146790516,A
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,249.42244538585985,A
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,299.3225280267562,A
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,390.7052837624894,C
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,415.36551233788185,C
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7,289.28115778527325,C
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,526.4374488065727,B
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,7,296.95778646388425,C
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,336.2563321930922,A
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,56,190.54539432232824,B
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,311.9480954888839,B
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,140.71916779142973,B
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,388.4399389510263,A
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,465.8236413330291,B
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,355.82797484072034,B
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14,207.604078768076,C
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,350.16603873042294,B
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,100,211.2089185754936,A
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,336.04334165082366,A
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,164.48584380767153,B
480.0,0.0,0.0,192.0,0.0,936.0,721.0,3,470.4927518340981,C
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,378.411875362858,C
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,28,224.80361233724236,B
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,169.67578740938995,A
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,158.45240400400672,C
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,151.15273071562245,C
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,369.8221226113503,A
336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,330.16308134858025,C
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,314.7996097777837,B
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,188.7748944340385,B
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,287.52890526968986,B
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,329.4254498579025,A
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,234.7867406892157,C
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28,150.03337766411585,B
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,274.21297987359986,B
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,232.14160806030725,B
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,28,205.2989091891214,B
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56,207.5171690154346,B
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,513.0562766284038,A
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,148.37184391149097,A
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,280.9648235644187,A
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,28,228.06448278501992,A
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,302.2734088801998,B
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,328.32799791115644,C
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,488.8848499102429,A
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,14,210.6016127281852,B
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,148.66798518347832,C
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,215.0463666429769,C
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28,145.54969387436316,B
295.71,0.0,95.64,171.54,8.87,955.14,859.2,28,291.11306003678874,B
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7,293.141331150478,C
290.35,0.0,96.18,168.08,9.41,961.18,865.0,3,285.5269864511424,B
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,181.24886024572749,B
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,233.78742368894305,C
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,357.86237970368313,C
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28,146.0242256788089,A
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,155.90410108332694,A
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,234.7017783634741,A
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,56,211.2379189683801,C
249.1,0.0,98.75,158.11,12.8,987.76,889.01,28,243.5460468274845,C
250.0,0.0,95.69,187.42,5.53,956.86,861.17,100,242.0394287647153,C
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,372.6027372084666,C
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,100,292.45847085611814,C
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,283.4031094237861,C
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,292.43317347813843,C
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,280.61148235618305,A
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,228.7094064724433,B
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,282.4598672931559,B
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,147.20827534823565,C
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90,534.5555052062165,B
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,56,177.90980039506871,A
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,140.531247105824,A
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28,161.3067400479368,B
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,304.28825919531505,C
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,14,222.4558176654972,C
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,14,203.27548516958575,C
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28,187.36941725892785,B
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,165.33223476143377,B
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28,181.20518018061748,A
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,125.69147503886812,C
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,519.7459603808393,B
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,137.89985422822988,B
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,14,207.68244479420963,C
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,108.98956615639392,C
251.37,0.0,118.27,192.94,5.75,1043.6,754.3,100,247.38572535735287,B
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,104.96366283335855,B
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,500.8761661886434,A
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,151.36347561130717,A
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,259.67534491004267,B
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,188.87244799709111,A
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,104.7574785205521,C
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,100,210.6897917540648,C
284.0,15.0,141.0,179.0,5.46,842.0,801.0,56,282.3273530089607,B
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,213.42281395927893,B
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,230.9236097877444,A
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14,210.79814745345948,C
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,290.17349689923725,C
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,273.1267462659504,C
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365,301.6667403430358,B
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,14,162.5859499357767,A
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,186.8537775811681,B
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,56,270.5046284146537,C
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,336.4245583000365,A
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,511.20716743372463,B
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,307.0995564365703,A
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3,328.45766180088685,A
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,100,373.2927630845514,A
314.0,0.0,113.0,170.0,10.0,925.0,783.0,28,304.7739417405091,A
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,3,185.67854780085227,B
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,165.2756849904167,B
250.2,166.8,0.0,203.5,0.0,977.6,694.1,90,247.04177030090568,B
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,233.17471748684244,A
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,535.3462669525899,B
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180,514.1319460875146,B
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,372.7835212095018,B
