cemento,escoria_de_horno,ceniza_volante,agua,superplastificante,agregado_grueso,agregado_fino,edad_dias,resistencia_compresion,cemento_bis,alumno_cargador
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436,360.6517897407397,A
192.0,288.0,0.0,192.0,0.0,929.8,,3.0,12.788400847999998,183.31302498203797,A
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28.0,35.86585204399999,295.4520376462076,C
,116.0,90.0,180.0,9.0,870.0,768.0,28.0,44.27814872,268.725377595201,C
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,28.0,46.38794528,156.2072825224574,B
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28.0,31.84000168,333.4109739134965,A
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56.0,79.40005615999999,378.5471687007489,A
375.0,,0.0,186.0,0.0,1038.0,758.0,28.0,38.21075992,369.2386834274294,B
491.0,26.0,123.0,210.0,3.93,882.0,699.0,3.0,25.60910856945864,483.86555494591505,A
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871315999999,352.5682721757834,C
,0.0,96.18,168.08,9.41,961.18,865.0,100.0,48.97348028,283.5574243306313,A
500.0,0.0,0.0,200.0,,1125.0,613.0,14.0,36.93522932,487.32060813524544,C
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,100.0,40.56876784,188.79821637983056,B
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,,22.489328168,374.33592076245833,C
305.3,,0.0,203.5,0.0,965.4,631.0,7.0,25.893960655999997,302.8315565104948,B
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28.0,22.435549039999998,275.98839183069333,A
167.35,129.9,128.62,,7.79,1006.3,746.6,14.0,31.812422639999998,162.2197989434038,B
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28.0,17.275510655999998,102.41032760160236,B
250.0,0.0,95.69,191.84,5.33,948.9,857.2,14.0,24.65566176,240.8534554538689,C
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,56.0,53.72396992,164.90166724971593,A
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.32952964,267.6120960492184,C
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.378282643999995,292.8713906851526,B
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28.0,23.73865868,139.85126439904369,A
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,56.0,44.14025352,244.68152853009917,B
155.0,0.0,143.0,,9.0,877.0,868.0,28.0,9.735401119999999,149.29898423102972,A
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3.0,13.52062436,324.4143363172744,C
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0,34.48758952,300.9563230219128,B
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0,40.0585556,311.7332567633134,B
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28.0,42.63719584,294.76580407967634,C
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,100.0,45.3675208,176.87588644258932,A
168.88,42.22,124.25,158.33,10.83,1080.8,,28.0,31.11605188,,B
250.0,0.0,0.0,182.0,0.0,,820.0,28.0,20.87043852,251.15805494583768,B
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0,33.798802996,252.0899444512842,C
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100.0,45.3675208,249.74255180378455,C
303.6,139.9,0.0,213.5,6.2,895.5,,28.0,33.419591196,,A
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.798513279999995,523.871940692363,B
,203.5,0.0,203.5,0.0,965.4,631.0,28.0,43.377003588,301.5485321098244,C
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.064311264,337.5400417055997,C
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.4978818,383.04254154235053,B
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.79941252,303.63413835798957,B
500.0,0.0,0.0,200.0,0.0,1125.0,,270.0,55.15808,493.0775105286557,B
166.0,260.0,0.0,183.0,13.0,859.0,827.0,28.0,37.91428524,161.45916875368232,C
540.0,,0.0,173.0,0.0,1125.0,613.0,180.0,71.62276688,532.6081460506663,C
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90.0,21.859147104,250.64299770332684,A
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28.0,35.225328839999996,137.02476626842395,C
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,13.22414968,332.9449791594625,A
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762,420.8899086736587,B
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28.0,32.051670812,249.91105507773395,C
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,3.0,15.520104759999999,161.62520667953447,C
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3.0,11.85209244,307.1840565720479,A
349.0,0.0,,192.0,0.0,1056.0,809.0,90.0,40.65839972,342.85443117936387,B
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28.0,76.23536132,271.0635017671963,A
425.0,106.3,0.0,153.5,16.5,852.1,,91.0,65.19685056,416.3777124215937,A
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14.0,35.9561734,213.40783240264292,B
500.0,0.0,,200.0,0.0,1125.0,613.0,,44.0919902,490.03435387501196,B
277.05,0.0,97.39,160.6,11.83,,875.61,28.0,48.28400428,270.50563148293236,C
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28.0,67.69964844,279.90733190870367,A
339.2,0.0,0.0,185.7,0.0,1069.2,,28.0,31.899986092,337.24934844549887,C
388.6,97.1,0.0,,12.1,852.1,925.7,7.0,34.90127512,384.7256848933582,C
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28.0,41.940825079999996,282.0957277435354,C
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28.0,38.70028788,307.07891564053676,A
,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.398217439999996,413.74164314199516,B
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7.0,10.354550567999999,119.09514285334606,A
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,14.0,24.986610239999997,188.10221894313253,A
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476,354.1152183074988,A
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,100.0,56.061293559999996,163.85024969202613,A
218.85,0.0,124.13,158.49,,,794.91,100.0,46.2293658,216.99846020067017,C
,0.0,0.0,197.0,0.0,968.0,781.0,14.0,27.04124872,333.7662312087024,C
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.80085148,316.2089007722983,A
190.0,190.0,0.0,228.0,0.0,,670.0,180.0,46.931941843999994,188.0938646775156,A
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180.0,41.05140104,338.2690533832305,A
222.36,0.0,96.67,189.29,4.46,967.08,870.32,56.0,29.447519959999997,214.2393929048385,A
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14.0,30.38520732,205.05527399448897,B
167.0,75.4,167.0,164.03,7.91,,770.1,28.0,41.40992856,161.69715016993732,B
505.0,,60.0,195.0,0.0,1030.0,,28.0,64.0178466,490.0932213768232,B
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176,,C
135.0,105.0,193.0,196.0,6.0,965.0,643.0,28.0,21.91154728,132.5271398638705,B
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871315999999,357.25345284044323,B
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28.0,26.233182848000002,151.18665720915513,B
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,100.0,48.67011084,170.69922467720608,C
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7.0,18.91232668,285.22038401682465,C
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56.0,48.587373719999995,173.47493548370824,B
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,3.0,21.02212324,249.25776453039117,B
,145.3,113.2,178.9,8.0,,690.2,28.0,46.234192132,306.87161275255727,C
290.35,0.0,96.18,168.08,9.41,961.18,865.0,14.0,34.67374804,289.72505064249253,B
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28.0,27.827251359999998,299.31008393029003,C
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.6806428,304.55865444490973,A
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28.0,31.6469484,333.25381471425106,A
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90.0,31.35047372,344.9061134285838,B
424.0,22.0,132.0,168.0,8.92,822.0,750.0,3.0,32.109882284729316,415.8184324190472,C
304.8,0.0,99.6,196.0,9.8,959.4,705.2,28.0,30.12320644,299.09629256373466,A
145.7,172.6,0.0,181.9,3.4,985.8,816.8,28.0,23.744174488,143.45536605521846,A
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243671999994,197.26619392458846,A
356.0,0.0,142.0,193.0,11.0,801.0,778.0,28.0,40.865242519999995,349.8897493798163,A
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56.0,36.3009114,362.46943312380046,A
213.72,98.05,,181.71,6.86,1065.8,785.38,100.0,53.90323368,213.0631608626647,C
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14.0,20.08443588,228.11830762706805,A
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14.0,20.77391188,319.8733308197494,A
183.9,122.6,0.0,203.5,0.0,959.2,,3.0,4.9035533120000006,179.69948179858514,A
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28.0,27.77209328,178.54355161306955,C
310.0,143.0,111.0,168.0,22.0,914.0,651.0,28.0,33.68779736,301.54132424831414,A
427.5,47.5,0.0,,0.0,932.0,594.0,365.0,43.698299404,420.5794628049156,A
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,,23.07676172,163.0683516404551,B
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,28.0,26.40003604,191.08884558394115,A
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.49708228,268.5685480714122,C
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,28.0,24.483292759999998,221.3914218467813,A
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28.0,23.69039536,146.85659285394172,A
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28.0,25.965666159999998,267.1887966938028,B
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7.0,17.43684804,326.68195172138365,A
375.0,93.8,0.0,126.6,23.4,852.1,,91.0,62.5009994,370.29471903862276,B
362.6,,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932,,C
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,38.610656,352.59468646996805,B
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,25.17966352,283.3381943339774,C
382.0,0.0,0.0,,0.0,1047.0,739.0,7.0,24.00065956,373.9633140304065,B
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656,371.3435993485353,A
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.90037588,308.277228299828,A
290.35,0.0,96.18,168.08,9.41,961.18,865.0,56.0,45.08483564,287.1344840410946,A
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.89737812,337.1321926750754,C
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,17.3403214,225.33281098503568,B
387.0,20.0,94.0,157.0,14.32,938.0,845.0,3.0,22.752708,376.7053884324427,B
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.79617508,,C
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,14.0,36.990387399999996,284.3429314742057,A
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,,27.935499091999997,177.34075034499628,A
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.29715436,358.2962185330692,C
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28.0,43.57833058,268.33523710213615,A
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28.0,25.17966352,285.1920436494966,A
108.3,162.4,,203.5,0.0,938.2,849.0,7.0,7.723510152,103.2430846668936,A
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992,328.6716941491736,A
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0,11.57630204,219.19906931538483,C
302.0,,0.0,203.0,0.0,974.0,817.0,28.0,21.7529678,290.37446454027247,B
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28.0,30.57136584,317.284192203652,C
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28.0,24.579819399999998,145.3231920102273,A
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,100.0,55.020184799999996,161.62241145613842,C
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28.0,49.77327244,,B
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.846616696,387.05241270795335,C
250.2,166.8,0.0,203.5,0.0,977.6,694.1,-30.0,9.731264264,248.34352086432403,C
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28.0,39.39665864,158.39019411680442,A
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476,355.8657637531664,C
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.59634688,384.09815532691835,A
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7.0,11.483912255999998,242.49472255546218,B
446.0,24.0,79.0,162.0,11.64,967.0,712.0,7.0,39.300132,437.7492392278758,B
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,17.576122192,228.97353254422663,C
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28.0,41.20308576,162.1879978615738,C
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416,465.35022226704126,C
202.0,11.0,141.0,206.0,1.72,942.0,801.0,56.0,23.24519085418796,200.65344622523165,A
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448,304.3449428026114,B
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28.0,39.421479776,260.97983562255575,A
387.0,20.0,94.0,157.0,,938.0,845.0,,50.23522136,378.74877725650737,A
212.0,141.3,0.0,203.5,0.0,,750.0,7.0,15.030576799999999,203.80950936682527,B
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28.0,39.056057496,366.48479745510946,A
277.19,97.82,,160.7,11.19,1061.7,782.46,56.0,66.82401392,272.45722971784517,B
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56.0,31.715896,192.76414158716125,A
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106,337.3897625136103,C
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,100.0,50.07664188,204.72041680163818,C
250.0,0.0,95.69,191.84,5.33,948.9,857.2,100.0,41.1617172,250.81169348728855,B
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.003837168,207.2592162096743,C
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7.0,27.742445811999996,386.2951138129683,A
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,14.0,38.76923548,265.9189195518566,B
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28.0,25.17966352,312.0737614617971,A
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,14.0,21.063491799999998,187.8791236463968,C
190.0,,0.0,228.0,0.0,,670.0,,53.69225402399999,188.04793826772647,A
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,3.0,9.4458212,185.5501807169141,B
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28.0,52.426376088,312.98686451796505,B
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90.0,32.53292506,181.2700518676813,A
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28.0,23.696600644,145.6381797803934,B
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7.0,14.49968028,275.6771044630216,A
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.2946762,421.30533667396276,A
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7.0,7.8393421199999995,200.08792791941002,A
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7.0,16.26473884,325.12636192940323,A
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0,40.28509771527068,415.26169804453684,C
491.0,26.0,123.0,210.0,3.93,882.0,699.0,7.0,33.488834284729315,479.0215593001456,A
154.8,183.4,0.0,193.3,,1047.4,696.7,28.0,18.287661424,154.52486839465078,B
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28.0,55.94408264,515.3196120685564,C
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.638264955999999,192.71136645526997,B
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.69717028,383.33333373774377,B
362.6,189.0,0.0,,11.6,944.7,755.8,56.0,77.29715436,350.32395116588697,B
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,28.0,32.66047812,241.10884203907742,B
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.59934464,466.6993226801703,A
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3.0,12.541568439999999,299.0010021976142,B
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28.0,27.337723399999998,344.3276368726122,C
233.81,0.0,94.58,197.89,4.567,947.04,852.16,14.0,22.13907436,234.3047971623499,C
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28.0,37.36270444,151.79450238874696,A
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,100.0,59.30183076,211.67129106989861,C
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28.0,18.415903959999998,232.6242980918086,C
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0,26.22766704,150.80675000150612,C
252.5,0.0,0.0,185.7,,1111.6,784.3,28.0,19.765208492,248.19710836692082,A
10000.0,136.0,106.0,178.0,7.0,941.0,774.0,28.0,26.14492992,9800.0,A
,,0.0,192.0,0.0,1085.0,765.0,28.0,21.6495464,295.4726834999339,B
,117.2,,137.8,32.2,852.1,840.5,56.0,69.29923276,458.37392821946094,C
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608,,B
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25394708,269.0402032870779,B
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,56.0,31.35047372,219.81321482593012,B
318.8,212.5,0.0,155.7,,852.1,880.4,91.0,68.09954452,,A
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,3.0,13.35515012,223.49808171790178,C
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28.0,31.44700036,324.51263713431257,C
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14.0,47.7117392,272.3448340604115,C
,0.0,143.0,193.0,9.0,1047.0,697.0,28.0,12.45883132,156.6648283214478,B
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7.0,12.73462172,247.09759019508465,A
379.5,,0.0,153.9,15.9,1134.3,605.0,91.0,56.49566344,376.6472737692313,A
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28.0,58.522722879999996,466.0903282899709,B
139.7,,,236.7,5.8,868.6,655.6,28.0,35.225328839999996,138.7651058964474,C
192.0,288.0,0.0,192.0,0.0,,716.1,7.0,21.48062478,185.05476565787808,B
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7.0,14.2032056,289.8408113084296,A
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.70158688,273.60146040944716,C
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28.0,31.640053639999998,209.57389822339985,B
222.36,0.0,96.67,189.29,4.46,967.08,870.32,14.0,24.44881896,222.52006797598798,A
151.6,0.0,111.9,184.4,7.9,992.0,815.9,28.0,12.180972492,152.16891877477795,A
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.049192651999999,344.63428633384456,B
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,,40.85834776,220.68526426382704,A
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28.0,44.61185510399999,138.8841520619222,C
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.84897484,424.4566337122251,A
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28.0,37.813621743999995,203.2696009357194,C
155.2,183.9,143.2,193.8,9.2,,698.5,28.0,28.991086848000002,147.84547372220936,C
380.0,95.0,0.0,228.0,,932.0,594.0,28.0,36.447769788,371.45127222296924,B
321.0,164.0,0.0,190.0,5.0,870.0,,28.0,57.21271848,315.6764234179285,A
313.3,0.0,,178.5,8.0,,688.7,28.0,36.804918356,306.77036977275316,C
202.0,11.0,,206.0,1.72,942.0,801.0,28.0,21.96670536,198.99393567870817,C
475.0,0.0,0.0,228.0,0.0,932.0,,365.0,41.934619796,464.67457324631994,A
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,,33.00521612,167.40479843879905,B
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.675936308,101.22056579617481,A
133.0,200.0,0.0,192.0,,927.4,839.2,3.0,6.883728383999999,133.6788976749808,A
,0.0,126.5,209.7,5.7,860.5,736.6,28.0,40.062002979999995,307.83756073926554,B
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28.0,44.38846488,306.65605263040936,C
136.4,161.6,125.8,171.6,10.4,,764.4,28.0,29.073134491999998,135.87874927728512,A
251.37,0.0,118.27,5000.0,6.35,1028.4,757.73,56.0,36.63875464,249.12491544467454,B
194.68,0.0,100.52,170.17,7.48,998.0,901.8,14.0,24.28334472,187.6647681825274,B
133.0,,0.0,192.0,0.0,927.4,839.2,7.0,13.664035367999999,128.90269048726407,B
313.0,,0.0,178.0,8.0,,822.0,28.0,25.0969264,301.09760471607785,B
183.9,,0.0,203.5,0.0,959.2,800.0,7.0,10.787541496,173.26093196284157,A
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,15.748321315999998,170.61180684805223,A
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365.0,38.89334116,330.3101541506933,C
162.0,190.0,148.0,179.0,19.0,838.0,741.0,,33.75674496,159.94780162329246,A
212.07,0.0,121.62,180.31,5.69,1057.6,,56.0,34.20490436,204.1721608187291,B
200.0,133.0,0.0,192.0,0.0,965.4,806.2,,30.439675923999996,195.8291363763594,A
401.8,94.7,,147.4,11.4,946.8,852.1,91.0,75.49762199999999,389.93018727704117,A
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,3.0,13.33446584,204.19391257489005,A
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28.0,26.91714304,146.62824022137715,C
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28.0,36.443632932,136.0349050532869,A
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.856968808,188.77392764377146,C
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90.0,54.598914963999995,301.2989909442687,C
233.81,0.0,94.58,197.89,4.567,947.04,852.16,100.0,34.55653712,233.5181328767266,B
284.0,,0.0,168.3,7.2,970.4,794.2,28.0,40.934879596,283.1706231954958,B
331.0,0.0,0.0,,0.0,1025.0,821.0,3.0,14.306626999999999,325.22776094875786,A
,117.6,91.7,182.9,7.1,953.4,780.3,28.0,23.524231644,144.56790960528198,A
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28.0,25.726417988,166.01266323954363,C
290.2,193.5,0.0,,0.0,998.2,704.3,7.0,21.859147104,277.16623410260036,B
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,3.0,13.12072828,247.13084767544143,C
251.81,,99.94,146.14,12.35,1006.0,899.76,14.0,33.35684888,245.88408713939586,B
236.0,0.0,0.0,193.0,0.0,968.0,,180.0,24.104080959999997,232.89410331978476,C
218.85,0.0,124.13,158.49,11.33,1078.7,794.91,14.0,26.04840328,214.50727816668197,C
252.1,97.1,,193.8,8.3,835.5,,28.0,33.399596392,248.07862993060502,C
165.0,128.5,132.1,175.06,8.08,,746.6,3.0,19.41564416,164.1885571260722,A
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28.0,39.604880392,383.5236860471468,A
362.6,189.0,0.0,164.9,11.6,944.7,-400.0,91.0,79.29663476,356.2054784188076,B
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365.0,29.7853632,247.59804273529076,A
298.0,0.0,,210.0,11.0,880.0,744.0,28.0,31.874475479999997,289.95948150628317,B
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360.0,42.126983599999996,343.55366544364256,A
469.0,,,137.8,32.2,852.1,840.5,91.0,70.69886903999999,459.15008630702573,C
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28.0,26.922658848,146.2341094180981,A
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28.0,10.53519328,146.1902861362571,A
,210.7,0.0,185.7,0.0,977.0,689.3,7.0,24.437787344,305.9347923794625,A
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736,418.7125467054013,C
297.16,0.0,117.54,174.8,,1022.8,753.45,3.0,21.91154728,293.04308441667337,A
,0.0,121.62,173.96,6.72,1056.4,778.45,14.0,26.77235308,,C
314.0,145.0,,179.0,8.0,869.0,690.0,28.0,46.2293658,303.8889506650893,C
